a,een
alliterate,allitereren
alliterated,alliterated
alliterating,allitererende
alliteration,alliteratie
alliterations,alliteraties
alliterative,allitererend
allocatable,toewijsbare
allocate,toewijzen
allocated,toegewezen
allocates,ken toe
allocating,toewijzing
allocation,toewijzing
allocations,toewijzingen
allocator,allocator
allocators,allocators
allophones,allofonen
allot,verloten
allotment,toewijzing
allotments,volkstuinen
allotrope,allotroop
allotropic,allotropisch
allots,toebedeelt
allotted,toegewezen
allotting,toewijzen
allow,toestaan
allowable,toelaatbaar
allowance,toelage
allowances,toelagen
allowed,toegestaan
allowing,toestaan
allows,toestaat
alloy,legering
alloyed,gelegeerd
alloying,legeren
alloys,legeringen
allude,zinspelen
alluded,gezinspeeld
alludes,zinspeelt
alluding,zinspelend
allure,verleiden
allured,verleidt
allurement,verlokking
allurements,verlokkingen
allures,allures
alluring,verleidelijk
alluringly,verleidelijk
allusion,zinspeling
allusions,toespelingen
allusive,zinspelend
alluvia,slib
alluvial,alluviaal
alluvium,alluvium
ally,bondgenoot
allying,bondgenootschap
almanac,almanak
almanacs,almanakken
almighty,almachtig
almond,amandel
almonds,amandelen
almost,bijna
alms,aalmoes
almshouse,hofje
almshouses,hofjes
aloe,aloë
aloes,aloësap
aloft,omhoog
aloha,aloha
alone,alleen
aloneness,aloneness
along,langs
alongside,naast
aloof,afzijdig
aloofness,gereserveerdheid
aloud,hardop
alp,bergtop
alpaca,alpaca
alpacas,alpaca
alpha,alpha
alphabet,alfabet
alphabetic,alfabetisch
alphabetical,alfabetisch
alphabetically,in alfabetische volgorde
alphabets,alfabetten
alphanumeric,alfanumerieke
alphas,alfa's
alpine,alpine
alps,Alpen
already,nu al
alright,in orde
also,ook
alt,alt
altar,altaar
altarpiece,altaarstuk
altarpieces,altaarstukken
altars,altaren
alter,wijzigen
alterable,veranderlijk
alteration,wijziging
alterations,wijzigingen
altercate,kijven
altercation,woordenwisseling
altercations,woordenwisselingen
altered,gewijzigd
alterego,Alterego
altering,veranderend
alternate,afwisselen
alternated,afgewisseld
alternately,afwisselend
alternates,plaatsvervangers
alternating,alternerende
alternation,afwisseling
alternations,wisselingen
alternative,alternatief
alternatively,alternatief
alternatives,alternatieven
alternator,wisselstroomdynamo
alternators,dynamo
alters,verandert
although,hoewel
altimeter,altimeter
altimeters,hoogtemeters
altitude,hoogte
altitudes,hoogten
alto,alt
altogether,allemaal samen
altruism,altruïsme
altruist,altruïst
altruistic,altruïstisch
altruistically,onbaatzuchtig
alts,alts
alum,aluin
aluminium,aluminium
aluminum,aluminium
alumni,alumni
alumnus,oud-leerling
alveolar,alveolaar
alveoli,alveoli
always,altijd
am,ben
amalgam,amalgaam
amalgamate,samensmelten
amalgamated,samengevoegd
amalgamates,amalgamates
amalgamating,samenvoeging
amalgamation,vermenging
amalgamations,fusies
amalgams,amalgamen
amanuensis,amanuensis
amass,stapelen
amassed,vergaard
amasses,vergaart
amassing,vergaren
amateur,amateur
amateurish,amateuristisch
amateurishly,amateuristisch
amateurishness,amateurisme
amateurism,amateurisme
amateurs,amateurs
amatory,liefdes
amaze,verbazen
amazed,versteld staan
amazement,verbazing
amazes,verbaast
amazing,verbazingwekkend
amazingly,verbazend
amazon,amazone
amazons,amazones
ambassador,ambassadeur
ambassadorial,gezantschaps
ambassadors,ambassadeurs
amber,amber
ambergris,ambergrijs
ambiance,sfeer
ambidextrous,ambidextrous
ambience,sfeer
ambient,omringend
ambiguities,onduidelijkheden
ambiguity,dubbelzinnigheid
ambiguous,dubbelzinnig
ambiguously,dubbelzinnig
ambit,omvang
ambition,ambitie
ambitions,ambities
ambitious,ambitieus
ambitiously,ambitieus
ambivalence,tegenstrijdigheid
ambivalent,tegenstrijdig
ambivalently,ambivalent
amble,telgang
ambled,kuierde
ambler,telganger
ambles,slentert
ambling,telgang
ambrosia,ambrozijn
ambulance,ambulance
ambulances,ambulances
ambulant,ambulant
ambulate,ambulate
ambulatory,ambulatory
ambuscade,hinderlaag
ambuscades,hinderlagen
ambush,hinderlaag
ambushed,hinderlaag
ambushers,Ambushers
ambushes,hinderlagen
ambushing,hinderlaag
ameliorate,verbeteren
ameliorated,verbeterd
ameliorates,verbetert
ameliorating,verbeterend
amelioration,verbetering
amen,amen
amenability,rekenschap
amenable,vatbaar
amend,wijzigen
amendable,verbeterbaar
amended,gewijzigd
amending,wijziging
amendment,amendement
amendments,amendementen
amends,compensatie
amenities,voorzieningen
amenity,faciliteiten
amenorrhoea,amenorroe
amens,amens
america,Amerika
american,Amerikaans
americans,amerikanen
americium,americium
amethyst,amethist
amethystine,amethystine
amethysts,amethist
amiability,beminnelijkheid
amiable,beminnelijk
amiableness,beminnelijkheid
amiably,vriendelijk
amicability,beminnelijkheid
amicable,minnelijk
amicably,vriendschappelijk
amid,midden
amide,amide
amidships,midscheeps
amidst,midden
amigo,amigo
amine,amine
amines,aminen
amino,amino
amir,emir
amiss,verkeerd
amity,vriendschap
amman,Amman
ammeter,ampèremeter
ammeters,ammeters
ammo,ammunitie
ammonia,ammonia
ammonites,ammonieten
ammonium,ammonium
ammunition,munitie
amnesia,geheugenverlies
amnesiac,geheugenverlies
amnesic,amnesic
amnesties,amnestie
amnesty,amnestie
amniotic,vruchtwater
amoeba,amoebe
amoebae,amoebae
amoebic,amoebic
amok,amok
among,tussen
amongst,te midden van
amoral,amoreel
amorality,immoraliteit
amorist,amorist
amorous,verliefd
amorously,liefdevol
amorphous,amorfe
amortisation,afschrijvingen
amortise,afschrijven
amortised,afgeschreven
amount,bedrag
amounted,bedroegen
amounting,bedrage
amounts,hoeveelheden
amour,amour
amours,amours
amp,amp
ampere,ampère
amperes,ampère
ampersand,ampersand
ampersands,ampersands
amphetamine,amfetamine
amphetamines,amfetaminen
amphibia,amfibie
amphibian,amfibie
amphibians,amfibieën
amphibious,amfibisch
amphitheatre,amfitheater
amphitheatres,amfitheaters
amphora,amfora
ample,ruim
ampler,verruimde
amplification,versterking
amplifications,versterkingen
amplified,versterkte
amplifier,versterker
amplifiers,versterkers
amplifies,versterkt
amplify,versterken
amplifying,versterkend
amplitude,amplitude
amplitudes,amplitudes
amply,ruimschoots
ampoules,ampullen
amps,amps
ampule,ampul
ampules,ampullen
ampuls,ampullen
amputate,amputeren
amputated,geamputeerd
amputating,amputatie
amputation,amputatie
amputations,amputaties
amputee,geamputeerde
amputees,geamputeerden
amuck,amok
amulet,amulet
amulets,amuletten
amuse,amuseren
amused,geamuseerd
amusement,amusement
amusements,amusement
amuses,amuses
amusing,amusant
amusingly,vermakelijk
an,een
ana,ana
anabolic,anabole
anachronism,anachronisme
anachronisms,anachronismen
anachronistic,anachronistisch
anachronistically,anachronistisch
anaconda,anaconda
anacondas,anacondas
anaemia,anemie
anaemic,bloedarm
anaerobic,anaërobe
anaerobically,anaeroob
anaesthesia,anesthesie
anaesthetic,verdovingsmiddel
anaesthetics,anesthetica
anaesthetise,verdoven
anaesthetised,onder narcose
anaesthetising,verdovende
anaesthetist,anesthesist
anaesthetists,anesthesisten
anagram,anagram
anagrammatic,anagrammatische
anagrammatically,anagrammatically
anagrams,anagrammen
anal,anaal
analgesia,verdoving
analgesic,pijnstillend
analgesics,analgetica
anally,anaal
analogical,analogisch
analogies,analogieën
analogise,analogise
analogous,analoog
analogously,analoog
analogue,analoog
analogues,analogen
analogy,analogie
analysable,analyseerbare
analyse,analyseren
analysed,geanalyseerd
analyser,analyzer
analysers,analyzers
analyses,analyseert
analysing,analyseren
analysis,analyse
analyst,analyst
analysts,analisten
analytic,analytisch
analytical,analytisch
analytically,analytisch
anamorphic,anamorphic
ananas,ananas
anaphora,anafora
anaphoric,anaforische
anarchic,anarchistisch
anarchical,anarchistisch
anarchism,anarchisme
anarchist,anarchist
anarchistic,anarchistische
anarchists,anarchisten
anarchy,anarchie
anathema,anathema
anatomic,anatomisch
anatomical,anatomisch
anatomically,anatomisch
anatomies,anatomies
anatomist,anatomist
anatomists,anatomen
anatomy,anatomie
ancestor,voorvader
ancestors,voorvaders
ancestral,voorouderlijke
ancestries,voorgeslachten
ancestry,voorgeslacht
anchor,anker
anchorage,ankerplaats
anchorages,ankerplaatsen
anchored,ten anker
anchoring,verankering
anchorite,kluizenaar
anchors,ankers
anchovies,ansjovis
anchovy,ansjovis
ancient,oude
anciently,anciently
ancients,Ouden
ancillary,ondergeschikt
and,en
andante,andante
andes,Andes
andrew,Andrew
androgynous,tweeslachtig
android,android
androids,androids
anecdotal,anekdotische
anecdotally,anekdotische
anecdote,anekdote
anecdotes,anekdotes
anechoic,anechoic
anemia,anemie
anemic,bloedarm
anemone,anemoon
anemones,anemonen
anergy,anergie
aneroid,aneroïde barometer
aneurysm,aneurysma
aneurysms,aneurysmata
anew,opnieuw
angel,engel
angelic,engelachtig
angelica,engelachtig
angels,angels
angelus,angelus
anger,boosheid
angered,boos
angering,boos
angers,angers
angina,angina
anginal,angina
angioplasty,angioplastiek
angle,hoek
angled,hoekig
anglepoise,anglepoise
angler,visser
anglers,hengelaars
angles,hoeken
anglian,anglian
anglican,anglicaans
angling,hengelen
angola,Angola
angolan,angolees
angolans,Angolezen
angora,Angora
angoras,Angoras
angrier,bozer
angriest,angriest
angrily,boos
angry,boos
angst,angst
angstroms,angstrom
anguish,angst
anguished,gekweld
anguishes,angsten
angular,hoekig
angularity,hoekigheid
anhydrous,watervrij
anil,indigo
aniline,aniline
animal,dier
animals,dieren
animate,bezielen
animated,geanimeerde
animatedly,geanimeerd
animates,bezielt
animating,animeren
animation,animatie
animations,animaties
animator,animator
animators,animators
animism,animisme
animist,animistische
animists,animisten
animosities,vijandigheden
animosity,vijandigheid
animus,animositeit
anion,anion
anionic,anionische
anions,anionen
anise,anijs
aniseed,anijszaad
aniseeds,anijszaden
anisotropic,anisotroop
anisotropies,anisotropie
anisotropy,anisotropie
ankara,Ankara
ankle,enkel
ankles,enkels
anklet,enkelband
anklets,enkelbanden
anna,anna
annal,annal
annals,annalen
anneal,temperen
annealed,getemperd
annealer,annealer
annealing,gloeien
annex,bijlage
annexation,annexatie
annexations,annexaties
annexe,bijgebouw
annexed,gehecht
annexes,bijlagen
annexing,annexatie
annihilate,vernietigen
annihilated,vernietigd
annihilates,vernietigt
annihilating,vernietigend
annihilation,vernietiging
anniversaries,jubilea
anniversary,verjaardag
annotate,annoteren
annotated,geannoteerde
annotates,annotates
annotating,annoteren
annotation,aantekening
annotations,annotaties
announce,aankondigen
announced,aangekondigd
announcement,Aankondiging
announcements,aankondigingen
announcer,omroeper
announcers,omroepers
announces,kondigt
announcing,aankondigen
annoy,ergeren
annoyance,ergernis
annoyances,ergernissen
annoyed,geërgerd
annoyer,Annoyer
annoyers,annoyers
annoying,vervelend
annoyingly,hinderlijk
annoys,ergert
annual,jaar
annualised,op jaarbasis
annually,jaarlijks
annuals,eenjarigen
annuities,lijfrentes
annuity,lijfrente
annul,vernietigen
annular,ringvormig
annuli,ringen
annulled,vernietigd
annulling,nietigverklaring
annulment,vernietiging
annuls,annuleert
annulus,annulus
annunciation,aankondiging
anode,anode
anodes,anodes
anodised,geanodiseerd
anodyne,pijnstillend middel
anoint,zalven
anointed,gezalfd
anointing,zalving
anoints,zalft
anomalies,afwijkingen
anomalous,abnormaal
anomalously,abnormaal
anomaly,afwijking
anomic,anomisch
anon,aanstonds
anonym,anonymus
anonymity,anonimiteit
anonymous,anoniem
anonymously,anoniem
anonyms,anonyms
anorak,anorak
anoraks,anoraks
anorexia,anorexia
anorexic,anorexia
another,een ander
answer,antwoord
answerable,aansprakelijk
answered,antwoordde
answerer,beantwoorder
answering,antwoordapparaat
answers,antwoorden
ant,mier
antacid,antacid
antacids,maagzuurremmers
antagonise,tegenwerken
antagonised,antagoneerde
antagonises,antagoneert
antagonising,antagoniserende
antagonism,antagonisme
antagonisms,tegenstellingen
antagonist,antagonist
antagonistic,vijandig
antagonists,antagonisten
ante,ante
anteater,miereneter
anteaters,miereneters
antecedent,antecedent
antecedents,antecedenten
antechamber,antichambre
antedate,antedateren
antedates,antedates
antedating,moeten toekennen
antediluvian,antediluviaans
antelope,antilope
antelopes,antilopen
antenatal,prenatale
antenna,antenne
antennae,antennes
antennas,antennes
anterior,voorste
anteriorly,anteriorly
anteroom,voorkamer
anthem,hymne
anthems,anthems
anther,helmknop
anthologies,bloemlezingen
anthologise,anthologise
anthologised,anthologised
anthology,bloemlezing
anthracite,antraciet
anthrax,miltvuur
anthropic,antropische
anthropocentric,antropocentrische
anthropogenic,antropogene
anthropogenically,antropogene
anthropoid,antropoïde
anthropological,antropologische
anthropologist,antropoloog
anthropologists,antropologen
anthropology,antropologie
anthropometric,antropometrische
anthropomorphic,antropomorf
anthropomorphising,Anthropomorphizing
anthropomorphism,antropomorfisme
anti,anti
antiabortionists,antiabortionists
antiaircraft,luchtafweer
antibiotic,antibioticum
antibiotics,antibiotica
antibodies,antilichamen
antibody,antilichaam
antic,antiek
anticipate,anticiperen
anticipated,verwacht
anticipates,anticipeert
anticipating,anticiperen
anticipation,verwachting
anticipations,verwachtingen
anticipative,anticiperende
anticipatory,vooruitlopend
anticlimax,anticlimax
anticlockwise,tegen de klok
anticoagulants,anticoagulantia
anticonstitutional,anti-constitutionele
antics,capriolen
anticyclone,anticycloon
antidepressant,antidepressiva
antidepressants,antidepressiva
antidote,tegengif
antidotes,tegengif
antifreeze,antivries
antigen,antigeen
antigenic,antigene
antigens,antigenen
antihistamines,antihistaminica
antilope,antilope
antimatter,antimaterie
antimony,antimonium
antioxidants,antioxidanten
antiparticles,antideeltjes
antipathetic,antipathiek
antipathies,antipathieën
antipathy,antipathie
antipodes,tegenvoeters
antiquarian,antiquair
antiquarianism,antiquarianism
antiquarians,antiquairs
antiquaries,antiquairs
antiquary,oudheidkundige
antiquated,verouderd
antique,antiek
antiques,antiek
antiquities,antiquiteiten
antiquity,oudheid
antiseptic,antiseptisch
antiseptics,antiseptica
antisocial,antisociaal
antistatic,antistatische
antisymmetric,antisymmetrische
antisymmetry,antisymmetrie
antitheses,tegenstellingen
antithesis,tegenstelling
antithetic,tegengesteld
antithetical,tegengesteld
antithetically,antithetisch
antitrust,antitrust
antiviral,antivirale
antler,gewei
antlers,gewei
antlion,antlion
antlions,Antlions
antonym,antoniem
antonyms,antoniemen
antral,antrale
antrum,antrum
ants,mieren
antwerp,antwerpen
anus,anus
anvil,aambeeld
anvils,aambeelden
anxieties,angsten
anxiety,angst
anxious,angstig
anxiously,angstig
any,ieder
anybody,iemand
anyhow,hoe dan ook
anymore,meer
anyone,iedereen
anyplace,iedere plaats
anything,iets
anyway,in ieder geval
anyways,anyways
anywhere,overal
aorist,aorist
aorta,aorta
